volume_id,volume_title,volume_year,publication,name,address,state,city,sub_region,category,notes,phone,proprietor,amenities_services,rates,personnel,reference_number,is_advertisement,is_recommended,canvas_fragment,image,neighborhood,borough,latitude,longitude,geocode_source,geocode_quality,review_flag,review_reasons
fc1bcc10-1a76-0132-8925-58d385a7bbd0,The Negro Motorist Green Book: 1937,1937,The Negro Motorist Green Book,Eighth Ave. Auto Painting and Body Shop,306-8 WEST 143rd STREET,NEW YORK,New York City,,NEW YORK CITY,"PAINTING and WELDING, Fender and Body Work - Colors Matched Perfect, Collision Work Our Specialty",AU. 3-0315,,,,"FLOYD E. OAKES, Mgr.",,,,"https://iiif.nypl.org/iiif/3/5207704/full/!760,760/0/default.jpg#xywh=415,820,1226,93",0002_5207704.jpg,Harlem,Manhattan,40.821544,-73.943531,geosearch(agree),RANGE_INTERPOLATED,false,
fc1bcc10-1a76-0132-8925-58d385a7bbd0,The Negro Motorist Green Book: 1937,1937,The Negro Motorist Green Book,J. JONES GENERAL AUTO REPAIRS,120 West 145th St.,NEW YORK,New York City,,NEW YORK CITY,"IGNITION SPECIALIST, BRAKES RELINED",AUdubon 3-9016,,,,,,,,"https://iiif.nypl.org/iiif/3/5207704/full/!760,760/0/default.jpg#xywh=2073,1478,1267,78",0002_5207704.jpg,Harlem,Manhattan,40.820594,-73.937579,geosearch(agree),ROOFTOP,false,
fc1bcc10-1a76-0132-8925-58d385a7bbd0,The Negro Motorist Green Book: 1937,1937,The Negro Motorist Green Book,GENE'S AUTO REPAIRS,414 West 155th St.,NEW YORK,New York City,,NEW YORK CITY,"WE CAN FIX EM, TOWING SERVICE, BODY & FENDER REPAIRING",EDgecombe 4-9470 / AUdubon 3-8629,,,,,,,,"https://iiif.nypl.org/iiif/3/5207704/full/!760,760/0/default.jpg#xywh=418,2312,1181,99",0002_5207704.jpg,Hamilton Heights,Manhattan,40.830393,-73.940947,geosearch(agree),ROOFTOP,false,
fc1bcc10-1a76-0132-8925-58d385a7bbd0,The Negro Motorist Green Book: 1937,1937,The Negro Motorist Green Book,ACE AUTO SUPPLY,207 ST. NICHOLAS AVE.,NEW YORK,New York City,,NEW YORK CITY,"We Can Fix'em Right, Batteries Charged, Flats Fixed, BRAKES RELINED, Electrical Ignition",UNiversity 4-7284,,,,"H. WRIGHT, Mgr.",,,,"https://iiif.nypl.org/iiif/3/5207704/full/!760,760/0/default.jpg#xywh=2178,2827,1056,81",0002_5207704.jpg,Harlem,Manhattan,40.807048,-73.953165,geosearch(agree),RANGE_INTERPOLATED,false,
fc1bcc10-1a76-0132-8925-58d385a7bbd0,The Negro Motorist Green Book: 1937,1937,The Negro Motorist Green Book,W. J. McAVOY,703 LENOX AVENUE,NEW YORK,New York City,,NEW YORK CITY,"Expert Repairing on All Cars, BRAKES - MOTORS - IGNITION, General Machine Work",AUdubon 3-8721,,,,,,,,"https://iiif.nypl.org/iiif/3/5207704/full/!760,760/0/default.jpg#xywh=669,3881,715,80",0002_5207704.jpg,Harlem,Manhattan,40.820867,-73.936446,geosearch(agree),ROOFTOP,false,
fc1bcc10-1a76-0132-8925-58d385a7bbd0,The Negro Motorist Green Book: 1937,1937,The Negro Motorist Green Book,A. L. EASTMOND,37 West 144th St.,NEW YORK,New York City,,NEW YORK CITY,"AUTO BLACKSMITH, ELECTRIC and ACETYLENE WELDER, Body, Fenders and Painting, Towing - Day & Night Service",EDgecombe 4-3220,,,,,,,,"https://iiif.nypl.org/iiif/3/5207704/full/!760,760/0/default.jpg#xywh=2306,4105,813,70",0002_5207704.jpg,Harlem,Manhattan,40.820315,-73.938457,geosearch(agree),RANGE_INTERPOLATED,false,
fc1bcc10-1a76-0132-8925-58d385a7bbd0,The Negro Motorist Green Book: 1937,1937,The Negro Motorist Green Book,H. G. FACEY,705 LENOX AVENUE,NEW YORK,New York City,,NEW YORK CITY,"FIRST CLASS AUTO PAINTING, Duco and Lacquer Finishing, Bodies and Fenders Repaired, Upholstering and Trimming",EDgecombe 4-8371,,,,,,,,"https://iiif.nypl.org/iiif/3/5207704/full/!760,760/0/default.jpg#xywh=701,4651,634,76",0002_5207704.jpg,Harlem,Manhattan,40.82081,-73.93646,geosearch(agree),ROOFTOP,false,
fc1bcc10-1a76-0132-8925-58d385a7bbd0,The Negro Motorist Green Book: 1937,1937,The Negro Motorist Green Book,CLEO F. DAVIS / AL'S GARAGE,38-44 WEST 144th STREET,NEW YORK,New York City,,NEW YORK CITY,"Auto Repairing-All Makes of Cars, Bring it here and let us worry, Ignition Expert",EDgecombe 4-3220,,,,Cleo F. Davis,,,,"https://iiif.nypl.org/iiif/3/5207706/full/!760,760/0/default.jpg#xywh=520,821,965,80",0004_5207706.jpg,Harlem,Manhattan,40.819841,-73.937452,geosearch_reverse,RANGE_INTERPOLATED,false,
fc1bcc10-1a76-0132-8925-58d385a7bbd0,The Negro Motorist Green Book: 1937,1937,The Negro Motorist Green Book,"LOU PRICE AUTO SALES, Inc.",4330 Broadway,NEW YORK,New York City,,NEW YORK CITY,"""Used Cars of the Better Kind"", As Low as $5.00 Down, 20 Months to Pay, No Red Tape - Trades Accepted",WAdsworth 3-9417,,,,,,,,"https://iiif.nypl.org/iiif/3/5207706/full/!760,760/0/default.jpg#xywh=2055,826,1280,115",0004_5207706.jpg,Washington Heights,Manhattan,40.852276,-73.934356,geosearch(agree),RANGE_INTERPOLATED,false,
fc1bcc10-1a76-0132-8925-58d385a7bbd0,The Negro Motorist Green Book: 1937,1937,The Negro Motorist Green Book,DALY BROS. AUTO SUPPLIES COMPANY,484 St. Nicholas Avenue,NEW YORK,New York City,,NEW YORK CITY,"Tires - Batteries - Accessories, 20 Weeks to Pay, Brake Relining - Fords $5, Oil 10c Quart, Expert Automobile Repairing",AUdubon 3-9052,,,,,,,,"https://iiif.nypl.org/iiif/3/5207706/full/!760,760/0/default.jpg#xywh=406,2548,1225,64",0004_5207706.jpg,Harlem,Manhattan,40.815935,-73.94767,geosearch_reverse,RANGE_INTERPOLATED,false,
